Global Data Model,,Attribute Definitions for Business (ADB) Release 2.11,,,,Business Message Standard (BMS) Information (v3.1.35),,,,,"Associated Code List
Only a subset of code lists are included in the GDM Code Lists tab. Except as noted, all codelists can be found in the GS1 GDSN Navigator [https://navigator.gs1.org]",,,,,,,,"Market Stage Indicator

All data may be exchanged as preliminary data prior to being final.",,,,,,,Change Information,,,
Global Core Attribute (Global layer for all product categories),BMS ID,Business name,Business definition,Example,Usage Statement,Attribute Name,Attribute Definition,Xpath,short xPath,GDSN Technical Attribute Available,Associated Code List Name,Associated BMS Code List ID,FMCG Food data model layer,FMCG Near Food data model layer,FMCG Pet Food data model layer,FMCG Alcoholic Beverages data model layer,FMCG Tobacco data model layer,Attribute Clusters / Groups,"List / Order

Is Needed
","List / Order

Preliminary or Final","Move /
Store

Is Needed
","Move / Store

Preliminary or Final","Sell

Is Needed","Sell

Preliminary or Final","Market Stages
Remarks",Change Type,WR Number,Detailed Change Information,Release Version
YES,40,Authorised Receiver of Product Information GLN (Global Location Number),The Global Location Number (GLN) that uniquely identifies the authorised receiver of the product information.,"• Private label information directed to one specific buyer.
• Promotional information for a specific retailer.
• Product information shared with a solution provider for dissemination to multiple recipients.","Used by the buyer to identify themselves within the GDSN network.
Used by the supplier to specifically provide a buyer with product data.",dataRecipient,"Party, which is authorized to view, use, download a set of Master Data provided by a Data Source.",/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/dataRecipient,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/dataRecipient,NO,not applicable,,Global,Global,Global,Global,Global,Identifiers,YES,Final,NO,Final,NO,Final,,Update,"WR-20-399;
WR-22-177","Change Detailed Conditional Reason in all product categories to ""This attribute is MANDATORY if the data recipient is needed for distribution of information."";
Add Market Stage Indicator information",1.3; 2.6.1
YES,56,Base Unit Indicator,The indicator that specifies this product does not contain another intended sellable unit.,"• A case of bottled soda and the individual bottles of soda are both consumer units.  The case is not the base unit (Base Unit Indicator = “False”). The individual bottles are base units (Base Unit Indicator = “True”).
• Shampoo and conditioner as a combination pack where the combination pack is the base unit (Base Unit Indicator = “True”). The individual shampoo and conditioner are not base units and not available for sale individually from the combination pack.
• A jar of peanut butter and a jar of jelly wrapped together as a combination pack where the combination pack is not the base unit (Base Unit Indicator = “False”) but the individual jars are the base units (Base Unit Indicator = “True”).
• A case of chicken for food service where the individual chickens do not have GTINs. The case is the base unit (Base Unit Indicator = “True”).
• A box of cereal – the box is the base unit (Base Unit Indicator = “True”).",Used to manage internal order/sell unit relationships and integration in conjunction with Consumer Unit Indicator.,isTradeItemABaseUnit,An indicator identifying the trade item as the base unit level of the trade item hierarchy.,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemABaseUnit,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemABaseUnit,NO,not applicable,,Global,Global,Global,Global,Global,Hierarchy,YES,Final,YES,Final,YES,Final,,Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,57,Consumer Unit Indicator,"The indicator that specifies the product can be purchased or, in some trade channels (e.g., food service, healthcare), used by, the consumer.","• Container of guacamole
• Carton of nutrition bars
• Nutrition bar each
• Single portion packet of ketchup (used in food service) with no barcode
• Image showing a digital movie
• Image showing a multi-beverage pack",Used to manage internal order/sell item relationships and integration in conjunction with Base Unit Indicator.,isTradeItemAConsumerUnit,"Identifies whether the trade item to be taken possession of ,or to be consumed or used by an end user or both, as determined by the manufacturer.  The end user could be, but is not limited to, a consumer as in items sold at retail, or a patient/clinician/technician in a healthcare setting, or an operator for foodservice such as restaurants, airlines, cafeterias, etc.",/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemAConsumerUnit,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemAConsumerUnit,NO,not applicable,,Global,Global,Global,Global,Global,Hierarchy,YES,Final,YES,Final,YES,Final,,Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,58,Shipping Unit Indicator,The indicator identifying that the information provider considers the trade item as a shipping unit.,"• Image of a case of a product
• Image of a pallet of product",Used to indicate that a product can be shipped in conjunction with Orderable Unit Indicator.,isTradeItemADespatchUnit,An indicator identifying that the information provider considers the trade item as a despatch (shipping) unit. This may be relationship dependent based on channel of trade or other point to point agreement.,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemADespatchUnit,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemADespatchUnit,NO,not applicable,,Global,Global,Global,Global,Global,Hierarchy,YES,Final,YES,Final,YES,Final,,Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,60,Orderable Unit Indicator,The indicator that specifies the product can be ordered.,"• Image of a 15 pound bag of dog food with consumer unit = yes and orderable = yes
• Image of jar of jelly with consumer unit = yes and orderable = no
• Image of a case of jars of jelly with consumer unit = yes and orderable = yes",Used to indicate that a product is orderable.,isTradeItemAnOrderableUnit,An indicator identifying that the information provider considers this trade item to be at a hierarchy level where they will accept orders from customers. This may be different from what the information provider identifies as a despatch unit. This may be a relationship dependent based on channel of trade or other point to point agreement,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemAnOrderableUnit,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemAnOrderableUnit,NO,not applicable,,Global,Global,Global,Global,Global,Hierarchy,YES,Final,YES,Final,YES,Final,,Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,66,Product Hierarchy Level Code,The code that describes the product's packaging level.,"Show images of a product at multiple levels of the hierarchy, such as each, pack, case, pallet.  ",Used to communicate how the product hierarchy is constructed.,tradeItemUnitDescriptorCode,"Describes the hierarchical level of the trade item. The attribute tradeItemUnitDescriptorCode is mandatory. Examples: ""CASE"", ”PALLET”.",/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemUnitDescriptorCode,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemUnitDescriptorCode,YES,TradeItemUnitDescriptorCode,348,Global,Global,Global,Global,Global,Hierarchy,YES,Final,YES,Final,YES,Final,,Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,67,GTIN (Global Trade Item Number),"The global number that uniquely identifies a product and its various packaging levels (e.g. item, case, pallet) physical or non-physical.","• Image of bottle of water with a highlight on the barcode number. Image of a case of a product with a highlight on the barcode number.
• Image of a case of a product (as the first image) but then in a case and with a different GTIN on the case.","Used for any product or service ordered, invoiced, shipped, or sold in store or online. Often represented as a barcode on the product.",gtin,"A particular Global trade item Number, a numerical value used to uniquely identify a trade item. A trade item is any trade item (trade item or service) upon which there is a need to retrieve pre-defined information and that may be planned, priced, ordered, delivered and or invoiced at any point in any supply chain.",/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gtin,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gtin,NO,not applicable,,Global,Global,Global,Global,Global,Identifiers,YES,Final,YES,Final,YES,Final,,Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,68,Additional Product Identification,"An identifier, other than the GTIN, which provides an additional identification for the product.","• Image of a medical product with a GTIN and approval number highlighted. 
• Image of a packaged food good price list showing brand owner’s internal item code.
• Image of a laser printer with a model number on the package.",Used for additional product identification that allows a buyer to identify a product by other identification systems.  Used in conjunction with Additional Product Identification Type Code,additionalTradeItemIdentification,Alternative means to the Global Trade Item Number to identify a trade item.,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification,YES,not applicable,,Global,Global,Global,Global,Global,Identifiers,YES,Final,YES,Final,YES,Final,"Some identifiers are shared with the end consumer, e.g., model number, regulation identifier, etc.",Update,WR-22-177,Add Market Stage Indicator information,2.6.1
YES,69,Additional Product Identification Type Code,The code indicating the type of Additional Product Identification used.,"• Image of a medical product with a GTIN and approval number highlighted. 
• Image of a laser printer with a model number on the package.
• Image of a packaged food good price list showing brand owner’s internal item code.
• We should have the type code and the value along with the image of the additional identifier.

Use in conjunction with Additional Product Identification.",Used to declare the type of the additional product identification that allows a buyer to know which identification system is used.,additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,This code will be used to cross-reference the Vendors internal trade item number to the GTIN in a one to one relationship.,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,NO,AdditionalTradeItemIdentificationTypeCode,12,Global,Global,Global,Global,Global,Identifiers,YES,Final,YES,Final,YES,Final,"Some identifiers are shared with the end consumer, e.g., model number, regulation identifier, etc.",Update,WR-22-177,Add Market Stage Indicator information,2.6.1
