canonical_spec,claim_id,statement,source_path,source_heading,short_quote,status,BACKLOG_ID,BACKLOG_STATUS
isa-core-architecture.md,ISA-001,"Enable GS1 Netherlands members to understand which GS1 standards and data attributes are required for compliance with EU regulations (CSRD, EUDR, DPP, ESRS) through structured mappings, versioned advi",./ARCHITECTURE.md,Core Mission,Enable GS1 Netherlands members to understand which GS1 standards and data attributes are required fo,traceable,,
isa-core-architecture.md,ISA-002,"- **Advisory Publication:** Lane C review required, no automated publication",./ARCHITECTURE.md,Data Limitations,"- **Advisory Publication:** Lane C review required, no automated publication",traceable,,
isa-core-architecture.md,ISA-003,"- 🔴 **Critical:** Must-have for MVP, core user journeys",./docs/ISA_INFORMATION_ARCHITECTURE.md,4. Page-Type Priority Matrix,"- 🔴 **Critical:** Must-have for MVP, core user journeys",traceable,,
isa-core-architecture.md,ISA-004,- Verify Lane C authorization,./ARCHITECTURE.md,Advisory Report Generation (Lane C Restricted),- Verify Lane C authorization,traceable,,
isa-core-architecture.md,ISA-005,- **Tested:** Unit tests ensure correctness,./docs/FILE_SYSTEM_MEMORY_ARCHITECTURE.md,4. Application Logic (`server/`),- **Tested:** Unit tests ensure correctness,traceable,,
isa-core-architecture.md,ISA-006,**Solution:** Use `sort-keys` to ensure consistent JSON output.,./docs/FILE_SYSTEM_MEMORY_ARCHITECTURE.md,Strategy 3: Deterministic JSON Serialization,**Solution:** Use `sort-keys` to ensure consistent JSON output.,traceable,,
isa-core-architecture.md,ISA-007,**Recommendation:** ISA should have **two distinct navigation patterns**:,./docs/ISA_INFORMATION_ARCHITECTURE.md,Primary Navigation (Top-Level),**Recommendation:** ISA should have **two distinct navigation patterns**:,traceable,,
isa-core-architecture.md,ISA-008,"**Goal:** Complete the website, ensure legal compliance",./docs/ISA_INFORMATION_ARCHITECTURE.md,Phase 4: Polish & Legal (Low Priority),"**Goal:** Complete the website, ensure legal compliance",traceable,,
isa-core-architecture.md,ISA-009,6. **Code Review:** CODEOWNERS review required,./ROADMAP_GITHUB_INTEGRATION.md,New Workflow (GitHub-First),6. **Code Review:** CODEOWNERS review required,traceable,,
isa-core-architecture.md,ISA-010,Sync must occur after:,./ROADMAP_GITHUB_INTEGRATION.md,Additional Triggers,Sync must occur after:,traceable,,
isa-core-architecture.md,ISA-011,Immediate sync required for:,./ROADMAP_GITHUB_INTEGRATION.md,Emergency Sync,Immediate sync required for:,traceable,,
isa-core-architecture.md,ISA-012,"All third-party integrations (data sources, APIs, services) must follow the systematic evaluation framework defined in `INTEGRATIONS_RESEARCH_PROTOCOL.md`.",./ROADMAP_GITHUB_INTEGRATION.md,Integration Research Framework,"All third-party integrations (data sources, APIs, services) must follow the systematic evaluation fr",traceable,,
isa-core-architecture.md,ISA-013,**Core Principle:** Integration research and implementation must not interrupt or delay core ISA development.,./ROADMAP_GITHUB_INTEGRATION.md,Non-Interruption Rule,**Core Principle:** Integration research and implementation must not interrupt or delay core ISA dev,traceable,,
isa-core-architecture.md,ISA-014,- Must ISA display the GS1 logo?,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,1. Clarify ISA's Official Status,- Must ISA display the GS1 logo?,traceable,,
isa-core-architecture.md,ISA-015,"- Is ""Powered by GS1"" attribution required?",./docs/ISA_VISUAL_BRANDING_ROADMAP.md,1. Clarify ISA's Official Status,"- Is ""Powered by GS1"" attribution required?",traceable,,
isa-core-architecture.md,ISA-016,- Determine if GS1 logo is required and where,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,3. Audit Current ISA Visual Implementation,- Determine if GS1 logo is required and where,traceable,,
isa-core-architecture.md,ISA-017,- ✅ GS1 logo is displayed (if required) with proper attribution,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Exit Criteria,- ✅ GS1 logo is displayed (if required) with proper attribution,traceable,,
isa-core-architecture.md,ISA-018,- Determines level of GS1 branding required,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Critical Decisions (Block Phase 0 → Phase 1 Transition),- Determines level of GS1 branding required,traceable,,
isa-core-architecture.md,ISA-019,2. **Must ISA display the GS1 logo?**,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Critical Decisions (Block Phase 0 → Phase 1 Transition),2. **Must ISA display the GS1 logo?**,traceable,,
isa-core-architecture.md,ISA-020,- ✅ GS1 logo displayed (if required) with proper attribution,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Phase 1: GS1 Brand Compliance,- ✅ GS1 logo displayed (if required) with proper attribution,traceable,,
isa-core-architecture.md,ISA-021,**Decision:** All automated processes must be monitorable and manually triggerable.,./docs/ISA_STRATEGIC_CONTEXT_SYNTHESIS.md,3.5 Observable Operations,**Decision:** All automated processes must be monitorable and manually triggerable.,traceable,,
isa-core-architecture.md,ISA-022,"ISA project cleanup completed successfully with minimal changes required. The project was already well-organized and clean, with no external repository archives, no large datasets in the active tree,",./PROJECT_SIZE_CLEANUP.md,Conclusion,ISA project cleanup completed successfully with minimal changes required. The project was already we,traceable,,
isa-core-architecture.md,ISA-023,- Minimum 100 samples required for baseline,./docs/ALERTING_SYSTEM_DESIGN.md,3. Performance Degradation Alert,- Minimum 100 samples required for baseline,traceable,,
isa-core-architecture.md,ISA-024,**This is a DOCUMENTATION task - NO CODE required**,./tasks/for_chatgpt/CGPT-15_user_guide.md,Environment Context,**This is a DOCUMENTATION task - NO CODE required**,traceable,,
isa-core-architecture.md,ISA-025,4. Fill in required attributes,./tasks/for_chatgpt/CGPT-15_user_guide.md,Workflow 2: Digital Product Passport Creation,4. Fill in required attributes,traceable,,
isa-core-architecture.md,ISA-026,"2. Identify required CTEs (harvest, processing, shipping)",./tasks/for_chatgpt/CGPT-15_user_guide.md,Use Case 1: Food Manufacturer (EUDR Compliance),"2. Identify required CTEs (harvest, processing, shipping)",traceable,,
isa-core-architecture.md,ISA-027,1. Use ESG Hub to identify required ESRS datapoints,./tasks/for_chatgpt/CGPT-15_user_guide.md,Use Case 2: Apparel Brand (CSRD Reporting),1. Use ESG Hub to identify required ESRS datapoints,traceable,,
isa-core-architecture.md,ISA-028,2. Identify required attributes per category,./tasks/for_chatgpt/CGPT-15_user_guide.md,Use Case 3: Electronics Company (DPP Implementation),2. Identify required attributes per category,traceable,,
isa-core-architecture.md,ISA-029,Must include:,./tasks/for_chatgpt/CGPT-15_user_guide.md,Content Coverage,Must include:,traceable,,
isa-core-architecture.md,ISA-030,Each phase includes a decision gate to ensure quality and prevent scope creep:,./ROADMAP_GITHUB_INTEGRATION.md,Decision Gates,Each phase includes a decision gate to ensure quality and prevent scope creep:,traceable,,
isa-core-architecture.md,ISA-031,"Before merging to main, verify:",./ROADMAP_GITHUB_INTEGRATION.md,Quality Gates,"Before merging to main, verify:",traceable,,
isa-core-architecture.md,ISA-032,"2. **Mandatory Source Availability:** Verify GS1 Global, GS1 NL, GS1 EU, EFRAG are reachable",./ROADMAP_GITHUB_INTEGRATION.md,Scheduled Checks (Weekly),"2. **Mandatory Source Availability:** Verify GS1 Global, GS1 NL, GS1 EU, EFRAG are reachable",traceable,,
isa-core-architecture.md,ISA-033,"7. ✅ Validate permissions (issue, branch, PR creation)",./ROADMAP_GITHUB_INTEGRATION.md,Immediate Actions (Week of 2025-12-17),"7. ✅ Validate permissions (issue, branch, PR creation)",traceable,,
isa-core-architecture.md,ISA-034,4. Validate CI pipeline execution,./ROADMAP_GITHUB_INTEGRATION.md,Week of 2025-12-23,4. Validate CI pipeline execution,traceable,,
isa-core-architecture.md,ISA-035,5. **Validation Checkpoints:** Review and validate at each phase before proceeding,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Executive Summary,5. **Validation Checkpoints:** Review and validate at each phase before proceeding,traceable,,
isa-core-architecture.md,ISA-036,"- Color palette (verify hex codes, accessible alternatives)",./docs/ISA_VISUAL_BRANDING_ROADMAP.md,2. Obtain GS1 Brand Resources,"- Color palette (verify hex codes, accessible alternatives)",traceable,,
isa-core-architecture.md,ISA-037,- [ ] **Check for updated brand manual:** Verify if Version 3.0 or later exists (current is v2.0 from Sept 2021),./docs/ISA_VISUAL_BRANDING_ROADMAP.md,2. Obtain GS1 Brand Resources,- [ ] **Check for updated brand manual:** Verify if Version 3.0 or later exists (current is v2.0 fro,traceable,,
isa-core-architecture.md,ISA-038,Align ISA's visual identity with GS1 brand guidelines to ensure compliance and establish credibility.,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Objectives,Align ISA's visual identity with GS1 brand guidelines to ensure compliance and establish credibility,traceable,,
isa-core-architecture.md,ISA-039,- Ensure accessible color alternatives for text on white,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,1. Update Color Palette to GS1 Standards,- Ensure accessible color alternatives for text on white,traceable,,
isa-core-architecture.md,ISA-040,- Verify WCAG 2.1 AA compliance (4.5:1 for normal text),./docs/ISA_VISUAL_BRANDING_ROADMAP.md,1. Update Color Palette to GS1 Standards,- Verify WCAG 2.1 AA compliance (4.5:1 for normal text),traceable,,
isa-core-architecture.md,ISA-041,"- Ensure proper sizing, clearance, and alignment per GS1 guidelines",./docs/ISA_VISUAL_BRANDING_ROADMAP.md,3. Add GS1 Logo & Attribution (If Required),"- Ensure proper sizing, clearance, and alignment per GS1 guidelines",traceable,,
isa-core-architecture.md,ISA-042,- Ensure logo works on light and dark backgrounds,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,4. Update ISA Logo (If Needed),- Ensure logo works on light and dark backgrounds,traceable,,
isa-core-architecture.md,ISA-043,- Verify tokens work across all components,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,4. Implement Design Tokens,- Verify tokens work across all components,traceable,,
isa-core-architecture.md,ISA-044,- [ ] **Validate with stakeholders:**,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,1. Finalize Information Architecture,- [ ] **Validate with stakeholders:**,traceable,,
isa-core-architecture.md,ISA-045,**Rationale:** Validate IA and navigation before building many new pages,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Timing Relative to ISA Development,**Rationale:** Validate IA and navigation before building many new pages,traceable,,
isa-core-architecture.md,ISA-046,**Rationale:** Ensure designs are validated before investing in implementation,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Timing Relative to ISA Development,**Rationale:** Ensure designs are validated before investing in implementation,traceable,,
isa-core-architecture.md,ISA-047,"- [ ] **Visual regression testing:** Compare to designs, ensure pixel-perfect",./docs/ISA_VISUAL_BRANDING_ROADMAP.md,6. Quality Assurance,"- [ ] **Visual regression testing:** Compare to designs, ensure pixel-perfect",traceable,,
isa-core-architecture.md,ISA-048,"1. **Design Review:** Compare implementation to designs, ensure pixel-perfect",./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Validation Checkpoints,"1. **Design Review:** Compare implementation to designs, ensure pixel-perfect",traceable,,
isa-core-architecture.md,ISA-049,4. **Should ISA use the GS1 Web Design System components?**,./docs/ISA_VISUAL_BRANDING_ROADMAP.md,Important Decisions (Affect Phase 2-5 Execution),4. **Should ISA use the GS1 Web Design System components?**,traceable,,
isa-core-architecture.md,ISA-050,**Decision:** News and regulations should reference each other bidirectionally.,./docs/ISA_STRATEGIC_CONTEXT_SYNTHESIS.md,3.3 Bidirectional Navigation,**Decision:** News and regulations should reference each other bidirectionally.,traceable,,
isa-core-architecture.md,ISA-051,**Rationale:** Users arriving at a regulation page should see recent developments. Users reading news should understand which regulations are affected.,./docs/ISA_STRATEGIC_CONTEXT_SYNTHESIS.md,3.3 Bidirectional Navigation,**Rationale:** Users arriving at a regulation page should see recent developments. Users reading new,traceable,,
isa-core-architecture.md,ISA-052,"- Verify that removed files (debug scripts, unused XLSX) are not needed",./PROJECT_SIZE_CLEANUP.md,Immediate Actions (User),"- Verify that removed files (debug scripts, unused XLSX) are not needed",traceable,,
isa-core-architecture.md,ISA-053,- Confirm that large datasets in /upload should remain there or be integrated,./PROJECT_SIZE_CLEANUP.md,Immediate Actions (User),- Confirm that large datasets in /upload should remain there or be integrated,traceable,,
isa-core-architecture.md,ISA-054,- Simulate error spike → verify alert triggered,./docs/ALERTING_SYSTEM_DESIGN.md,Integration Tests,- Simulate error spike → verify alert triggered,traceable,,
isa-core-architecture.md,ISA-055,- Simulate performance degradation → verify alert triggered,./docs/ALERTING_SYSTEM_DESIGN.md,Integration Tests,- Simulate performance degradation → verify alert triggered,traceable,,
isa-core-architecture.md,ISA-056,- Verify cooldown prevents duplicate alerts,./docs/ALERTING_SYSTEM_DESIGN.md,Integration Tests,- Verify cooldown prevents duplicate alerts,traceable,,
isa-core-architecture.md,ISA-057,- Verify alert acknowledgment updates database,./docs/ALERTING_SYSTEM_DESIGN.md,Integration Tests,- Verify alert acknowledgment updates database,traceable,,
isa-core-architecture.md,ISA-058,- Update thresholds → verify new thresholds applied,./docs/ALERTING_SYSTEM_DESIGN.md,Integration Tests,- Update thresholds → verify new thresholds applied,traceable,,
isa-core-architecture.md,ISA-059,- Disable notifications → verify no emails sent,./docs/ALERTING_SYSTEM_DESIGN.md,Integration Tests,- Disable notifications → verify no emails sent,traceable,,
isa-core-architecture.md,ISA-060,- **Validate inputs:** Check GTINs with check digit validator,./tasks/for_chatgpt/CGPT-15_user_guide.md,Data Quality,- **Validate inputs:** Check GTINs with check digit validator,traceable,,
isa-core-architecture.md,ISA-061,- Test with intentional errors to verify logging,./docs/MANUS_OPTIMIZATION_IMPLEMENTATION_SUMMARY.md,Phase 3: Complete Error Recovery & Observability,- Test with intentional errors to verify logging,traceable,,
isa-core-architecture.md,ISA-062,| `README.md` | Project overview and setup | The first document a new developer should read. |,./REPO_MAP.md,Top-20 Critical Files,| `README.md` | Project overview and setup | The first document a new developer should read. |,traceable,,
isa-core-architecture.md,ISA-063,2. Verify notification system:,./docs/NEWS_HEALTH_MONITORING.md,Alert not received despite failures,2. Verify notification system:,traceable,,
isa-core-architecture.md,ISA-064,2. Verify `updateHealthSummary()` is being called after `recordScraperExecution()`,./docs/NEWS_HEALTH_MONITORING.md,Health summary not updating,2. Verify `updateHealthSummary()` is being called after `recordScraperExecution()`,traceable,,
isa-core-architecture.md,ISA-065,6. Test and validate,./INGESTION_DELIVERABLES_INDEX.md,Quick Start,6. Test and validate,traceable,,
data-knowledge-model.md,DAT-001,"* Stores GDSN XML tags, EDI segments, and JSON-LD properties required for ESG compliance",./docs/GS1_Attribute_Mapper_Technical_Specification.md,1.2 Table 1: `gs1_attributes`,"* Stores GDSN XML tags, EDI segments, and JSON-LD properties required for ESG compliance",traceable,,
data-knowledge-model.md,DAT-002,* Links EU regulations to specific GS1 technical attributes required for compliance,./docs/GS1_Attribute_Mapper_Technical_Specification.md,1.3 Table 2: `regulation_attribute_mappings`,* Links EU regulations to specific GS1 technical attributes required for compliance,traceable,,
data-knowledge-model.md,DAT-003,"""MANDATORY"", // Legally required for compliance",./docs/GS1_Attribute_Mapper_Technical_Specification.md,1.3 Table 2: `regulation_attribute_mappings`,"""MANDATORY"", // Legally required for compliance",traceable,,
data-knowledge-model.md,DAT-004,"""RECOMMENDED"", // Best practice but not legally required",./docs/GS1_Attribute_Mapper_Technical_Specification.md,1.3 Table 2: `regulation_attribute_mappings`,"""RECOMMENDED"", // Best practice but not legally required",traceable,,
data-knowledge-model.md,DAT-005,"""CONDITIONAL"", // Required only under specific circumstances",./docs/GS1_Attribute_Mapper_Technical_Specification.md,1.3 Table 2: `regulation_attribute_mappings`,"""CONDITIONAL"", // Required only under specific circumstances",traceable,,
data-knowledge-model.md,DAT-006,"rationale: text(""rationale"").notNull(), // Explanation of why this attribute is required (e.g., ""EUDR Article 9 requires geolocation data for all commodities"")",./docs/GS1_Attribute_Mapper_Technical_Specification.md,1.3 Table 2: `regulation_attribute_mappings`,"rationale: text(""rationale"").notNull(), // Explanation of why this attribute is required (e.g., ""EUD",traceable,,
data-knowledge-model.md,DAT-007,"15,packagingMaterialTypeCode,Packaging Material Type Code,GDSN_XML,enum,true,<packagingMaterialTypeCode>,Packaging Information Module,,,,""Identifies the material type of packaging component. Must use",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.2 Phase 1: Manual Curation (Week 1, 20 hours)","15,packagingMaterialTypeCode,Packaging Material Type Code,GDSN_XML,enum,true,<packagingMaterialTypeC",traceable,,
data-knowledge-model.md,DAT-008,"12,RFF+DDR,DDS Reference Number,EDI_SEGMENT,string,true,,,RFF+DDR,DDR,,""Unique ID generated by TRACES system upon submission of EUDR Due Diligence Statement. Must be linked to specific line items in D",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.2 Phase 1: Manual Curation (Week 1, 20 hours)","12,RFF+DDR,DDS Reference Number,EDI_SEGMENT,string,true,,,RFF+DDR,DDR,,""Unique ID generated by TRACE",traceable,,
data-knowledge-model.md,DAT-009,required: boolean;,./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.3 Phase 2: Automated GS1 Navigator Scraping (Week 2, 16 hours)",required: boolean;,traceable,,
data-knowledge-model.md,DAT-010,"isRequired: attr.required,",./docs/GS1_Attribute_Mapper_Technical_Specification.md,"2.3 Phase 2: Automated GS1 Navigator Scraping (Week 2, 16 hours)","isRequired: attr.required,",traceable,,
