id,source,ref,line,summary,status,priority,owner,area,acceptance,next_action,target_phase
TM-001,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L163,163,"data-knowledge-model.md | DAT-097 | | Add obligation language detection (shall, must, required) | Check 2 | 4h | MEDIUM | | ./docs/ISA_NEWS_HUB_SELF_CHECK_ASSESSMENT.md | Phase 2: Short-Term (Next Sprint) | | Add obligation language detection (shall, must, required) | Check 2 | 4h | MEDIUM | | traceable",OPEN,P2,,client,,,
TM-002,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L234,234,governance-iron-protocol.md | GOV-068 | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 1. **User Action Required:** Configure branch protection on GitHub repository main branch | traceable,OPEN,P2,,client,,,
TM-003,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L235,235,governance-iron-protocol.md | GOV-069 | 2. **User Decision Required:** Determine ISA license | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Immediate (Next 24 Hours) | 2. **User Decision Required:** Determine ISA license | traceable,OPEN,P2,,client,,,
TM-004,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L244,244,governance-iron-protocol.md | GOV-078 | - Ensure procedures are comprehensive and current | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Short-Term (Next 14 Days) | - Ensure procedures are comprehensive and current | traceable,OPEN,P2,,spec,,,
TM-005,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L245,245,governance-iron-protocol.md | GOV-079 | - Validate security monitoring is working | ./docs/GOVERNANCE_SELF_CHECK_2025-12-17.md | Medium-Term (Next 30 Days) | - Validate security monitoring is working | traceable,OPEN,P0,,spec,,,
TM-006,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L257,257,"governance-iron-protocol.md | GOV-091 | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow must be verified in the next step (see Section 4). | ./docs/evidence/ISA_IRON_DOCSET_AND_CRITICAL_PATH_DECISION_DRAFT_v0.md | C. Baseline discoverability artefacts (strongly recommended, low-cost) | **NOTE:** Whether they are already located in the *correct repo paths* and wired into daily flow mus | traceable",OPEN,P2,,ops,,,
TM-007,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L299,299,ingestion-update-lifecycle.md | ING-033 | - [x] Fix boolean→number in INGEST-02_gdsn_current.ts (required field) | ./todo.md | Ingestion Script Fixes | - [x] Fix boolean→number in INGEST-02_gdsn_current.ts (required field) | traceable,OPEN,P2,,client,,,
TM-008,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L300,300,ingestion-update-lifecycle.md | ING-034 | - [x] Fix boolean→number in INGEST-04_ctes_kdes.ts (mandatory and required fields) | ./todo.md | Ingestion Script Fixes | - [x] Fix boolean→number in INGEST-04_ctes_kdes.ts (mandatory and required fields) | traceable,OPEN,P2,,client,,,
TM-009,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L301,301,ingestion-update-lifecycle.md | ING-035 | 2. **Column Naming Consistency:** Drizzle schema uses camelCase for TypeScript but snake_case for database columns - tests must use TypeScript property names | ./todo.md | Meta-Learnings | 2. **Column Naming Consistency:** Drizzle schema uses camelCase for TypeScript but snake_case for da | traceable,OPEN,P2,,spec,,,
TM-010,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L302,302,ingestion-update-lifecycle.md | ING-036 | - [x] Create server/test-helpers/db-test-utils.ts with 7 required functions: | ./todo.md | TASK 1 — DB Test Helpers (PR #4 equivalent) | - [x] Create server/test-helpers/db-test-utils.ts with 7 required functions: | traceable,OPEN,P2,,client,,,
TM-011,TRACEABILITY_MATRIX.csv,docs/spec/TRACEABILITY_MATRIX.csv:L303,303,ingestion-update-lifecycle.md | ING-037 | - [x] Seed helpers must work within transaction context | ./todo.md | TASK 1 — DB Test Helpers (PR #4 equivalent) | - [x] Seed helpers must work within transaction context | traceable,OPEN,P2,,client,,,
