BMS ID #,GDSN name,GDSN definition,Business name,Business definition,Example,Usage Statement,Global Data Model attribute,Last Update ADB Release #,xPath,Cardinality,Length,DataType
40,dataRecipient,"Party, which is authorized to view, use, download a set of Master Data provided by a Data Source.",Authorised Receiver of Product Information GLN (Global Location Number),The Global Location Number (GLN) that uniquely identifies the authorised receiver of the product information.,"• Private label information directed to one specific buyer.
• Promotional information for a specific retailer.
• Product information shared with a solution provider for dissemination to multiple recipients.","Used by the buyer to identify themselves within the GDSN network.
Used by the supplier to specifically provide a buyer with product data.",Y,1.1,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/dataRecipient,0..1,13..13 ,GLN
56,isTradeItemABaseUnit,An indicator identifying the trade item as the base unit level of the trade item hierarchy.,Base Unit Indicator,The indicator that specifies this product does not contain another intended sellable unit.,"• A case of bottled soda and the individual bottles of soda are both consumer units.  The case is not the base unit (Base Unit Indicator = “False”). The individual bottles are base units (Base Unit Indicator = “True”).
• Shampoo and conditioner as a combination pack where the combination pack is the base unit (Base Unit Indicator = “True”). The individual shampoo and conditioner are not base units and not available for sale individually from the combination pack.
• A jar of peanut butter and a jar of jelly wrapped together as a combination pack where the combination pack is not the base unit (Base Unit Indicator = “False”) but the individual jars are the base units (Base Unit Indicator = “True”).
• A case of chicken for food service where the individual chickens do not have GTINs. The case is the base unit (Base Unit Indicator = “True”).
• A box of cereal – the box is the base unit (Base Unit Indicator = “True”).",Used to manage internal order/sell unit relationships and integration in conjunction with Consumer Unit Indicator.,Y,2.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemABaseUnit,0..1,4..5 ,boolean
57,isTradeItemAConsumerUnit,"Identifies whether the trade item to be taken possession of ,or to be consumed or used by an end user or both, as determined by the manufacturer.  The end user could be, but is not limited to, a consumer as in items sold at retail, or a patient/clinician/technician in a healthcare setting, or an operator for foodservice such as restaurants, airlines, cafeterias, etc.",Consumer Unit Indicator,"The indicator that specifies the product can be purchased or, in some trade channels (e.g., food service, healthcare), used by, the consumer.","• Container of guacamole
• Carton of nutrition bars
• Nutrition bar each
• Single portion packet of ketchup (used in food service) with no barcode
• Image showing a digital movie
• Image showing a multi-beverage pack",Used to manage internal order/sell item relationships and integration in conjunction with Base Unit Indicator.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemAConsumerUnit,0..1,4..5 ,boolean
58,isTradeItemADespatchUnit,An indicator identifying that the information provider considers the trade item as a despatch (shipping) unit. This may be relationship dependent based on channel of trade or other point to point agreement.,Shipping Unit Indicator,The indicator identifying that the information provider considers the trade item as a shipping unit.,"• Image of a case of a product
• Image of a pallet of product",Used to indicate that a product can be shipped in conjunction with Orderable Unit Indicator.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemADespatchUnit,0..1,4..5 ,boolean
60,isTradeItemAnOrderableUnit,An indicator identifying that the information provider considers this trade item to be at a hierarchy level where they will accept orders from customers. This may be different from what the information provider identifies as a despatch unit. This may be a relationship dependent based on channel of trade or other point to point agreement,Orderable Unit Indicator,The indicator that specifies the product can be ordered.,"• Image of a 15 pound bag of dog food with consumer unit = yes and orderable = yes
• Image of jar of jelly with consumer unit = yes and orderable = no
• Image of a case of jars of jelly with consumer unit = yes and orderable = yes",Used to indicate that a product is orderable.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/isTradeItemAnOrderableUnit,0..1,4..5 ,boolean
66,tradeItemUnitDescriptorCode,"Describes the hierarchical level of the trade item. The attribute tradeItemUnitDescriptorCode is mandatory. Examples: ""CASE"", ”PALLET”.",Product Hierarchy Level Code,The code that describes the product's packaging level.,"Show images of a product at multiple levels of the hierarchy, such as each, pack, case, pallet.  ",Used to communicate how the product hierarchy is constructed.,Y,1.4,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemUnitDescriptorCode,0..1,1..80 ,TradeItemUnitDescriptorCode
67,gtin,"A particular Global trade item Number, a numerical value used to uniquely identify a trade item. A trade item is any trade item (trade item or service) upon which there is a need to retrieve pre-defined information and that may be planned, priced, ordered, delivered and or invoiced at any point in any supply chain.",GTIN (Global Trade Item Number),"The global number that uniquely identifies a product and its various packaging levels (e.g. item, case, pallet) physical or non-physical.","• Image of bottle of water with a highlight on the barcode number. Image of a case of a product with a highlight on the barcode number.
• Image of a case of a product (as the first image) but then in a case and with a different GTIN on the case.","Used for any product or service ordered, invoiced, shipped, or sold in store or online. Often represented as a barcode on the product.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/gtin,1..1,14..14 ,GTIN
68,additionalTradeItemIdentification,Alternative means to the Global Trade Item Number to identify a trade item.,Additional Product Identification,"An identifier, other than the GTIN, which provides an additional identification for the product.","• Image of a medical product with a GTIN and approval number highlighted. 
• Image of a packaged food good price list showing brand owner’s internal item code.
• Image of a laser printer with a model number on the package.",Used for additional product identification that allows a buyer to identify a product by other identification systems.  Used in conjunction with Additional Product Identification Type Code,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification,0..*,unbounded {1..80},string
69,additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,This code will be used to cross-reference the Vendors internal trade item number to the GTIN in a one to one relationship.,Additional Product Identification Type Code,The code indicating the type of Additional Product Identification used.,"• Image of a medical product with a GTIN and approval number highlighted. 
• Image of a laser printer with a model number on the package.
• Image of a packaged food good price list showing brand owner’s internal item code.
• We should have the type code and the value along with the image of the additional identifier.

Use in conjunction with Additional Product Identification.",Used to declare the type of the additional product identification that allows a buyer to know which identification system is used.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/additionalTradeItemIdentification/@additionalTradeItemIdentificationTypeCode,1..1,1..80 ,AdditionalTradeItemIdentificationTypeCode
75,gln,"The Global Location Number (GLN) is a structured Identification of a physical location, legal or functional entity within an enterprise. The GLN is the primary party identifier. Each party identified in the trading relationship must have a primary party Identification.",Brand Owner GLN (Global Location Number),The Global Location Number (GLN) that uniquely identifies the Brand Owner of the product.,"Show examples when:
• Brand Owner GLN = Info Provider GLN
• Manufacturer GLN = Info Provider GLN
• Distributor GLN = Info Provider GLN
• Service Company GLN = Info Provider GLN on behalf of the Brand Owner","Used by the seller to communicate the GLN of the brand owner to the buyer. It allows the buyer to identify the Brand Owner. Used by the buyer for internal validation and to support some B2B processes.
",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/brandOwner/gln,0..1,13..13 ,GLN
77,partyName,The name of the party expressed in text.,Brand Owner Name,The name of the Brand Owner.,"Show examples when:
• Brand Owner Party Name = Info Provider Party Name
• Manufacturer Party Name = Info Provider Party Name
• Distributor Party Name = Info Provider Party Name
• Service Company Party Name = Info Provider Party Name on behalf of the Brand Owner",Used to provide the Brand Owner name to buyers and consumers.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/brandOwner/partyName,0..1,unbounded {1..200},string
83,gln,"The Global Location Number (GLN) is a structured Identification of a physical location, legal or functional entity within an enterprise. The GLN is the primary party identifier. Each party identified in the trading relationship must have a primary party Identification.",Data Provider GLN (Global Location Number),The Global Location Number (GLN) used to uniquely identify the party providing the product information.,"Show examples when:
• Brand Owner GLN = Info Provider GLN
• Manufacturer GLN = Info Provider GLN
• Distributor GLN = Info Provider GLN
• Service Company GLN = Info Provider GLN on behalf of the Brand Owner","Used to identify the source of product information.
Used by the buyer to determine the preferred or relevant data source for a product when data is received from multiple sources.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/informationProviderOfTradeItem/gln,0..1,13..13 ,GLN
85,partyName,The name of the party expressed in text.,Data Provider Name,The name of the party providing the product information.,"Show examples when:
•  Brand Owner Party Name = Info Provider Party Name
•  Manufacturer Party Name = Info Provider Party Name
•  Distributor Party Name = Info Provider Party Name
•  Service Company Party Name = Info Provider Party Name on behalf of the Brand Owner","Used to name the source providing the product information.
Used by the buyer to determine the preferred or relevant data source for a product when data is received from multiple sources.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/informationProviderOfTradeItem/partyName,0..1,unbounded {1..200},string
91,gln,"The Global Location Number (GLN) is a structured Identification of a physical location, legal or functional entity within an enterprise. The GLN is the primary party identifier. Each party identified in the trading relationship must have a primary party Identification.",Manufacturing GLN (Global Location Number),The Global Location Number(GLN) that uniquely identifies the party who owns the manufacturing process of the product.,"Show examples when:
• Brand Owner GLN = Info Provider GLN
• Manufacturer GLN = Info Provider GLN
• Distributor GLN = Info Provider GLN
• Service Company GLN = Info Provider GLN on behalf of the Brand Owner","Used by the seller to communicate the GLN of the owner of the manufacturing process to the buyer. It allows the buyer to identify the owner of the manufacturing process. Used by the buyer for internal validation and to support some B2B processes.
",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/manufacturerOfTradeItem/gln,0..1,13..13 ,GLN
93,partyName,The name of the party expressed in text.,Manufacturer Name,The name of the manufacturer.,"Show examples when:
•  Brand Owner Party Name = Info Provider Party Name
•  Manufacturer Party Name = Info Provider Party Name
•  Distributor Party Name = Info Provider Party Name
•  Service Company Party Name = Info Provider Party Name on behalf of the Brand Owner",Used to identify the name of the owner of the manufacturing process.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/manufacturerOfTradeItem/partyName,0..1,unbounded {1..200},string
112,targetMarketCountryCode,The code that identifies the target market. The target market is at country level or higher geographical definition and is where a trade item is intended to be sold.,Country Of Sale Code,The code representing the country where the physical or non-physical product is intended to be sold.,"An image of two identical products with French and German on the pack, target market of Germany and France.",Used to determine the intended country(ies) of sale.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/targetMarket/targetMarketCountryCode,1..1,1..80 ,CountryCode
115,referencedTradeItemTypeCode,"A code depicting the type of trade item that is referenced for a specific purpose for example substitute, replaced by, equivalent trade items.",Referenced GTIN Type Code,The code indicating the relationship to the referenced GTIN such as substituted or replaced.,"Image of the code list showing the relationship options: substitute, replacement, temporary replacement, equivalent.
Use the same example as Referenced GTIN",Used to inform the buyer of the type of relationship to the referenced product.,Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/referencedTradeItem/referencedTradeItemTypeCode,1..1,1..80 ,ReferencedTradeItemTypeCode
116,gtin,"A particular Global trade item Number, a numerical value used to uniquely identify a trade item. A trade item is any trade item (trade item or service) upon which there is a need to retrieve pre-defined information and that may be planned, priced, ordered, delivered and or invoiced at any point in any supply chain.",Referenced GTIN,The GTIN of a product where a permanent or temporary change to the product needs to be referenced.,"Image of two very similar chocolate bars, with two separate GTINs, where one is replacing the other and is marked 'new and improved'.
Show along with Referenced GTIN Type Code","Used to inform the buyer of the referenced product GTIN.

Used by the buyer for inventory, marketing, placement, and pricing business workflows.",Y,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/referencedTradeItem/gtin,1..1,14..14 ,GTIN
121,availableTime,The time that a specific contact for a Trade Item is available for contact.,Contact Information Available Time,The time the contact is available.,"• Accounting contact details shown with accounting contact information shown on an invoice
• Product recall contact details shown with a recall notice and contact information
• Consumer Support contact details shown with consumer support phone number or website
• BZL - Licensee Registrar showing name and address of distributor, CXC - Consumer Support or GR - Goods receiving contact
• DQT - Contact for local sales representative, including GLN.

Show products for each code selected in the examples.

Include all of these related attributes in each of the examples to clearly demonstrate the relationship between them: Contact Type Code; Contact Method Code; Contact Information Available Time; Contact Address; Contact; Contact Information GLN (Global Location Number); Contact Details","Used by the seller to communicate to the buyer the time the contact is available for business processes or for consumer information, relative to the Contact Type Code.
",N,1.0,/catalogue_item_notification:catalogueItemNotificationMessage/transaction/documentCommand/catalogue_item_notification:catalogueItemNotification/catalogueItem/tradeItem/tradeItemContactInformation/availableTime,0..*,1..70 ,Description70
