id,source,ref,text
code_todos:client/src/components/GS1ImpactBadge.tsx:55,code_todos,client/src/components/GS1ImpactBadge.tsx:55,{/* TODO: replace with dynamic GS1 impact label mapping once levels are finalized. */}
code_todos:client/src/components/NewsRecommendationCard.tsx:125,code_todos,client/src/components/NewsRecommendationCard.tsx:125,{/* TODO: connect to recommendation service and populate card content. */}
code_todos:client/src/components/NewsRecommendationCard.tsx:138,code_todos,client/src/components/NewsRecommendationCard.tsx:138,"{summary ?? ""TODO: provide AI-generated summary of the recommendation.""}"
code_todos:client/src/components/NewsRecommendationCard.tsx:143,code_todos,client/src/components/NewsRecommendationCard.tsx:143,"<p>{rationale ?? ""TODO: include rationale for why this matters.""}</p>"
code_todos:client/src/components/NewsRecommendationCard.tsx:163,code_todos,client/src/components/NewsRecommendationCard.tsx:163,TODO: show model confidence and freshness.
code_todos:client/src/components/RegulationTimeline.tsx:126,code_todos,client/src/components/RegulationTimeline.tsx:126,{/* TODO: surface relevant milestones and news events here. */}
code_todos:client/src/components/RegulationTimeline.tsx:170,code_todos,client/src/components/RegulationTimeline.tsx:170,"{milestone.description ?? ""TODO: add milestone description.""}"
code_todos:client/src/components/RegulationTimeline.tsx:180,code_todos,client/src/components/RegulationTimeline.tsx:180,{/* TODO: enrich timeline with linked news and filters. */}
code_todos:client/src/components/SectorFilter.tsx:132,code_todos,client/src/components/SectorFilter.tsx:132,{/* TODO: convert to a multi-select dropdown once API integration is ready. */}
code_todos:client/src/components/SectorFilter.tsx:98,code_todos,client/src/components/SectorFilter.tsx:98,{/* TODO: connect to sector taxonomy service. */}
code_todos:client/src/pages/AdminPromptOptimization.tsx:123,code_todos,client/src/pages/AdminPromptOptimization.tsx:123,// TODO: Save to database via tRPC mutation
code_todos:client/src/pages/HubRegulationDetail.tsx:52,code_todos,client/src/pages/HubRegulationDetail.tsx:52,// TODO: Implement saved items functionality when userContent router is available
code_todos:client/src/pages/HubRegulationDetail.tsx:63,code_todos,client/src/pages/HubRegulationDetail.tsx:63,// TODO: Implement save functionality when userContent router is available
code_todos:server/cellar-ingestion-router.ts:294,code_todos,server/cellar-ingestion-router.ts:294,// TODO: Implement ingestion log table
code_todos:server/routers.ts:328,code_todos,server/routers.ts:328,// TODO: Implement update preferences mutation
code_todos:server/routers/gs1nl-attributes.ts:278,code_todos,server/routers/gs1nl-attributes.ts:278,// TODO: Implement semantic search using embeddings
code_todos:server/services/corpus-ingestion/index.ts:372,code_todos,server/services/corpus-ingestion/index.ts:372,// TODO: Implement embedding generation
planning_todo_md:docs/planning/TODO.md:L1,planning_todo_md,docs/planning/TODO.md:L1,# Status: superseded
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1000,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1000,"roadmap-evolution.md | ROA-089 | - [x] Validate permissions (issue, branch, PR creation) | ./todo.md | Repository Setup | - [x] Validate permissions (issue, branch, PR creation) | traceable"
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1001,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1001,roadmap-evolution.md | ROA-090 | - [ ] Validate CI pipeline execution on real code | ./todo.md | Next Steps (Ongoing) | - [ ] Validate CI pipeline execution on real code | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1002,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1002,roadmap-evolution.md | ROA-091 | - [ ] Ensure no GitHub sync/push operations | ./todo.md | Lane C Governance Enforcement | - [ ] Ensure no GitHub sync/push operations | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1003,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1003,roadmap-evolution.md | ROA-092 | - [ ] Ensure no new integrations without approval | ./todo.md | Lane C Governance Enforcement | - [ ] Ensure no new integrations without approval | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1004,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1004,roadmap-evolution.md | ROA-093 | - [ ] Ensure no privilege changes | ./todo.md | Lane C Governance Enforcement | - [ ] Ensure no privilege changes | traceable
traceability_csv:docs/spec/TRACEABILITY_MATRIX.csv:L1005,traceability_csv,docs/spec/TRACEABILITY_MATRIX.csv:L1005,roadmap-evolution.md | ROA-094 | - [ ] Ensure no irreversible operations | ./todo.md | Lane C Governance Enforcement | - [ ] Ensure no irreversible operations | traceable
